outer_fold,cell_line,depmap_id,lineage,inner_fold
2,TE11_OESOPHAGUS,ACH-000488,esophagus,3
2,TE6_OESOPHAGUS,ACH-000605,esophagus,1
2,TEN_ENDOMETRIUM,ACH-000397,uterus,3
2,TUHR4TKB_KIDNEY,ACH-000495,kidney,3
2,UACC257_SKIN,ACH-000579,skin,0
3,22RV1_PROSTATE,ACH-000956,prostate,1
3,42MGBA_CENTRAL_NERVOUS_SYSTEM,ACH-000323,central_nervous_system,2
3,786O_KIDNEY,ACH-000649,kidney,0
3,8505C_THYROID,ACH-001307,thyroid,1
3,A2780_OVARY,ACH-000657,ovary,1
3,A375_SKIN,ACH-000219,skin,3
3,AGS_STOMACH,ACH-000880,gastric,3
3,BEN_LUNG,ACH-000603,lung,0
3,CAL120_BREAST,ACH-000212,breast,2
3,CAOV3_OVARY,ACH-000713,ovary,2
3,COLO668_LUNG,ACH-000803,lung,3
3,COLO680N_OESOPHAGUS,ACH-000717,esophagus,2
3,COV434_OVARY,ACH-000123,ovary,0
3,DMS273_LUNG,ACH-000749,lung,1
3,EFM192A_BREAST,ACH-000117,breast,1
3,G401_SOFT_TISSUE,ACH-000096,rhabdoid,3
3,GCIY_STOMACH,ACH-000047,gastric,2
3,GP2D_LARGE_INTESTINE,ACH-000982,colorectal,3
3,HCC1143_BREAST,ACH-000374,breast,0
3,HCC1195_LUNG,ACH-000868,lung,0
3,HEC1B_ENDOMETRIUM,ACH-000941,uterus,2
3,HS766T_PANCREAS,ACH-000178,pancreas,2
3,HS852T_SKIN,ACH-000274,skin,2
3,IGR1_SKIN,ACH-000882,skin,0
3,IGROV1_OVARY,ACH-000966,ovary,3
3,ISTMES1_PLEURA,ACH-000569,mesothelioma,0
3,J82_URINARY_TRACT,ACH-000396,urinary_tract,0
3,JHH5_LIVER,ACH-000734,liver,3
3,KNS60_CENTRAL_NERVOUS_SYSTEM,ACH-000445,central_nervous_system,2
3,KNS81_CENTRAL_NERVOUS_SYSTEM,ACH-000479,central_nervous_system,1
3,LI7_LIVER,ACH-000471,liver,1
3,LN229_CENTRAL_NERVOUS_SYSTEM,ACH-000595,central_nervous_system,1
3,LNCAPCLONEFGC_PROSTATE,ACH-000977,prostate,2
3,LOVO_LARGE_INTESTINE,ACH-000950,colorectal,1
3,LUDLU1_LUNG,ACH-000390,lung,2
3,MALME3M_SKIN,ACH-000477,skin,1
3,MDAMB435S_SKIN,ACH-000884,skin,0
3,MDAMB468_BREAST,ACH-000849,breast,3
3,MIAPACA2_PANCREAS,ACH-000601,pancreas,3
3,MSTO211H_PLEURA,ACH-000335,mesothelioma,2
3,NCIH1048_LUNG,ACH-000866,lung,1
3,NCIH1355_LUNG,ACH-000666,lung,2
3,NCIH1573_LUNG,ACH-000916,lung,1
3,NCIH1581_LUNG,ACH-000015,lung,2
3,NCIH1650_LUNG,ACH-000035,lung,3
3,NCIH1793_LUNG,ACH-000888,lung,1
3,NCIH1915_LUNG,ACH-000434,lung,0
3,NCIH2126_LUNG,ACH-000785,lung,3
3,NCIH2347_LUNG,ACH-000875,lung,2
3,NCIH23_LUNG,ACH-000900,lung,0
3,NCIH2444_LUNG,ACH-000186,lung,2
3,NCIH322_LUNG,ACH-000837,lung,3
3,NCIH522_LUNG,ACH-000343,lung,0
3,NCIH838_LUNG,ACH-000416,lung,1
3,NCIH841_LUNG,ACH-000292,lung,3
3,NUGC3_STOMACH,ACH-000911,gastric,0
3,OSRC2_KIDNEY,ACH-000159,kidney,3
3,PANC0403_PANCREAS,ACH-000235,pancreas,1
3,PC3_PROSTATE,ACH-000090,prostate,0
3,QGP1_PANCREAS,ACH-000347,pancreas,0
3,RCC10RGB_KIDNEY,ACH-000189,kidney,2
3,RH30_SOFT_TISSUE,ACH-000833,rhabdomyosarcoma,2
3,SKUT1_SOFT_TISSUE,ACH-000939,soft_tissue,1
3,SNB75_CENTRAL_NERVOUS_SYSTEM,ACH-000504,central_nervous_system,3
3,SNU1041_UPPER_AERODIGESTIVE_TRACT,ACH-000618,upper_aerodigestive,1
3,SNU1105_CENTRAL_NERVOUS_SYSTEM,ACH-000368,central_nervous_system,0
3,SNU1214_UPPER_AERODIGESTIVE_TRACT,ACH-000715,upper_aerodigestive,2
3,SNU245_BILIARY_TRACT,ACH-000268,bile_duct,0
3,SNU685_ENDOMETRIUM,ACH-000407,uterus,3
3,SW48_LARGE_INTESTINE,ACH-000958,colorectal,0
3,SW579_THYROID,ACH-000163,thyroid,3
3,TE11_OESOPHAGUS,ACH-000488,esophagus,3
3,TE6_OESOPHAGUS,ACH-000605,esophagus,1
3,TEN_ENDOMETRIUM,ACH-000397,uterus,0
3,TUHR4TKB_KIDNEY,ACH-000495,kidney,1
3,UACC257_SKIN,ACH-000579,skin,3
4,22RV1_PROSTATE,ACH-000956,prostate,1
4,42MGBA_CENTRAL_NERVOUS_SYSTEM,ACH-000323,central_nervous_system,1
4,769P_KIDNEY,ACH-000411,kidney,3
4,786O_KIDNEY,ACH-000649,kidney,2
4,8505C_THYROID,ACH-001307,thyroid,0
4,A2780_OVARY,ACH-000657,ovary,0
4,A375_SKIN,ACH-000219,skin,1
4,ACCMESO1_PLEURA,ACH-000086,mesothelioma,2
4,AGS_STOMACH,ACH-000880,gastric,3
4,BEN_LUNG,ACH-000603,lung,3
4,CAL120_BREAST,ACH-000212,breast,3
4,CAL62_THYROID,ACH-000174,thyroid,3
4,CAOV3_OVARY,ACH-000713,ovary,1
4,CJM_SKIN,ACH-000458,skin,3
4,COLO668_LUNG,ACH-000803,lung,1
4,COLO680N_OESOPHAGUS,ACH-000717,esophagus,2
4,COV434_OVARY,ACH-000123,ovary,2
4,DMS273_LUNG,ACH-000749,lung,3
4,G401_SOFT_TISSUE,ACH-000096,rhabdoid,2
4,GCIY_STOMACH,ACH-000047,gastric,0
4,GP2D_LARGE_INTESTINE,ACH-000982,colorectal,0
4,HCC1143_BREAST,ACH-000374,breast,0
4,HCC1195_LUNG,ACH-000868,lung,2
4,HCC1419_BREAST,ACH-000277,breast,2
4,HEP3B217_LIVER,ACH-000625,liver,3
4,HS766T_PANCREAS,ACH-000178,pancreas,3
4,HUCCT1_BILIARY_TRACT,ACH-000976,bile_duct,2
4,IGR1_SKIN,ACH-000882,skin,1
4,ISTMES1_PLEURA,ACH-000569,mesothelioma,1
4,J82_URINARY_TRACT,ACH-000396,urinary_tract,1
4,KNS42_CENTRAL_NERVOUS_SYSTEM,ACH-000622,central_nervous_system,0
4,KNS81_CENTRAL_NERVOUS_SYSTEM,ACH-000479,central_nervous_system,0
4,KYSE270_OESOPHAGUS,ACH-000873,esophagus,1
4,LI7_LIVER,ACH-000471,liver,1
4,LK2_LUNG,ACH-000769,lung,1
4,LMSU_STOMACH,ACH-000255,gastric,2
4,LN229_CENTRAL_NERVOUS_SYSTEM,ACH-000595,central_nervous_system,3
4,LOVO_LARGE_INTESTINE,ACH-000950,colorectal,2
4,LUDLU1_LUNG,ACH-000390,lung,0
4,MALME3M_SKIN,ACH-000477,skin,0
4,MDAMB435S_SKIN,ACH-000884,skin,2
4,MDAMB468_BREAST,ACH-000849,breast,1
4,MIAPACA2_PANCREAS,ACH-000601,pancreas,1
4,MSTO211H_PLEURA,ACH-000335,mesothelioma,0
4,NCIH1299_LUNG,ACH-000510,lung,0
4,NCIH1355_LUNG,ACH-000666,lung,3
4,NCIH1581_LUNG,ACH-000015,lung,1
4,NCIH1693_LUNG,ACH-000021,lung,0
4,NCIH1793_LUNG,ACH-000888,lung,2
4,NCIH1915_LUNG,ACH-000434,lung,1
4,NCIH2126_LUNG,ACH-000785,lung,0
4,NCIH2347_LUNG,ACH-000875,lung,1
4,NCIH23_LUNG,ACH-000900,lung,3
4,NCIH2444_LUNG,ACH-000186,lung,0
4,NCIH522_LUNG,ACH-000343,lung,2
4,NCIH841_LUNG,ACH-000292,lung,2
4,OAW42_OVARY,ACH-000704,ovary,3
4,PANC0403_PANCREAS,ACH-000235,pancreas,2
4,PATU8988S_PANCREAS,ACH-000022,pancreas,0
4,PC3_PROSTATE,ACH-000090,prostate,2
4,RCC10RGB_KIDNEY,ACH-000189,kidney,1
4,SKMEL24_SKIN,ACH-000822,skin,2
4,SKUT1_SOFT_TISSUE,ACH-000939,soft_tissue,0
4,SNU1041_UPPER_AERODIGESTIVE_TRACT,ACH-000618,upper_aerodigestive,3
4,SNU1105_CENTRAL_NERVOUS_SYSTEM,ACH-000368,central_nervous_system,2
4,SNU1214_UPPER_AERODIGESTIVE_TRACT,ACH-000715,upper_aerodigestive,0
4,SNU685_ENDOMETRIUM,ACH-000407,uterus,1
4,SW480_LARGE_INTESTINE,ACH-000842,colorectal,3
4,SW48_LARGE_INTESTINE,ACH-000958,colorectal,1
4,SW579_THYROID,ACH-000163,thyroid,2
4,SW900_LUNG,ACH-000669,lung,3
4,TE6_OESOPHAGUS,ACH-000605,esophagus,3
4,TEN_ENDOMETRIUM,ACH-000397,uterus,0
4,TUHR4TKB_KIDNEY,ACH-000495,kidney,0
4,UACC257_SKIN,ACH-000579,skin,3
